Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,"Inversiones en subsidiarias, negocios conjuntos y asociadas",Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
860006928,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2271150,60279995,,1565013,,,194020,,64310178,,64310178,5985643,8091320,,,10897180,,,,,1070560,,3,,,26044706,90354884,,,,49794942,1694900,2834833,,54324675,,54324675,,841050,841050,,,,23398200,,24239250,78563925,7450838,,,,,252258,2579848,1508015,11790959,90354884
860006928,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,7113165,44442956,,2325649,,,304202,,54185972,,54185972,6288714,8222364,,,10033208,,,,,477082,,3,,,25021371,79207343,,,,40509348,2095502,1945710,,44550560,,44550560,,851703,851703,,,,25960800,,26812503,71363063,7450838,,,,,252258,2054460,-1913276,7844280,79207343
860012340,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,1728723,6681089,16422837,,,,522276,,25354925,,25354925,7348754,15505898,,,8952720,,,,,1630667,,,,,33438039,58792964,,,,3183504,882578,5069698,606600,9742380,,9742380,,,,,2151289,,6340733,,8492022,18234402,6600000,,,,,1569276,5211010,27178276,40558562,58792964
860012340,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,1170773,4156881,13328593,,,,532620,,19188867,,19188867,9125540,13897337,,,7123197,,,,,1786761,,,,,31932835,51121702,,,,2280963,786805,2358189,521992,5947949,,5947949,,,,,3094324,,5041171,,8135495,14083444,6600000,,,,,1569276,3832156,25036826,37038258,51121702
817001528,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,1886900,19728509,11493627,1069063,,,451550,,34629649,,34629649,,71102400,,,,14997664,,,,,,81834,,,86181898,120811547,914242,,914242,48417637,1555160,3450427,2744079,57081545,,57081545,24109,231325,255434,,1857535,,3502281,,5615250,62696795,22828160,,,,,,1674037,33612555,58114752,120811547
817001528,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,1736928,19250908,13173409,2857399,,,45248,,37063892,,37063892,,77960247,,,,16054862,,,,,,164982,,,94180091,131243983,809634,,809634,61034197,1563472,3169676,675009,67251988,,67251988,39236,69397,108633,,1558274,,6967630,,8634537,75886525,22828160,,,,,,2077100,30452198,55357458,131243983
890307530,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,5215,15789510,0,59959,,10904167,,,26758851,,26758851,,,,,18354474,43295,,,1417726,29672,,,,,19845167,46604018,,,,18146,,,13781541,13799687,,13799687,,,,,,,,,,13799687,9638452,,,,10238748,,9305223,3621908,32804331,46604018
890307530,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,4541,23453646,,,,,,,23458187,8186548,31644735,,,,,25376592,46054,,,1417726,16706,,,,,26857078,58501813,,,,25370,364772,,12986773,13376915,,13376915,,,,,,,,,,13376915,9638452,,,,10238748,,12936513,12311185,45124898,58501813
890302629,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,9629252,30068065,170383321,7630436,,,20618,,217731692,,217731692,44572605,21453158,,97359,,19086584,,,,,,135270,,,85344976,303076668,1999204,977462,2976666,17340931,2728898,90980230,86883588,200910313,,200910313,54642,,54642,,2587823,,12801584,,15444049,216354362,11375431,3826778,,,,9081255,5451637,56987205,86722306,303076668
890302629,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,7597512,15412328,145238372,7637020,,,20546,,175905778,,175905778,44579605,22022438,,155340,,18755732,,,,,,146132,,,85659247,261565025,1516456,890757,2407213,19995581,1933527,55601620,89230891,169168832,,169168832,47701,,47701,,4857598,,824989,,5730288,174899120,11375431,3826778,,,,9081255,6962848,55419593,86665905,261565025
830116134,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,6497705,92744764,24553541,6945149,,,1877025,,132618184,,132618184,,199419226,,,,88063,,,,23409089,,20000,,,222936378,355554562,,,,96617340,,20163248,,116780588,,116780588,,,,9884190,14597537,,145016495,,169498222,286278810,22075800,62915403,,,,,4690188,-20405639,69275752,355554562
830116134,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,3287015,73209149,20741819,8874434,,,662196,,106774613,,106774613,,206793913,,,,88063,,,,14721146,,20000,,,221623122,328397735,,,,65101680,,123267,,65224947,,65224947,,,,12310114,12593564,,165883250,,190786928,256011875,22075800,62915403,,,,,4807300,-17412643,72385860,328397735
860008234,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,7288528,8789801,,,,2000,,,16080329,,16080329,60127139,,,,452605410,,,,,,,,,,512732549,528812878,,,,791963,30291,,,822254,,822254,,,,,5962693,,,,5962693,6784947,37451,22679264,,,,,91179213,408132003,522027931,528812878
860008234,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,3098777,22061017,,,,2000,,,25161794,,25161794,60127139,,,,430796393,,,,,,,,,,490923532,516085326,,,,8525276,180973,,,8706249,,8706249,,,,,5962693,,,,5962693,14668942,37451,22679264,,,,,98044442,380655227,501416384,516085326
800032229,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,912,122617,,,,,,,123529,,123529,74126,780,,,31618151,,,,,,,,408329,,32101386,32224915,,,,390822,2508,,,393330,,393330,,,,436724,2547966,,122326,,3107016,3500346,661670,,,,9650025,19158247,173317,-918690,28724569,32224915
800032229,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,929,121103,,,,,,,122032,,122032,83594,2841,,,33254006,,,,,,,,401494,,33741935,33863967,,,,384690,4552,,,389242,,389242,,,,436724,30953,,83628,,551305,940547,661670,,,,9587278,21672789,173317,828366,32923420,33863967
860003829,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,3367441,7154568,,3747,,941941,,,11467697,,11467697,24865191,,,,,8748394,,,,1124518,,,,,34738103,46205800,14847,,14847,209964,269656,1141973,,1636440,,1636440,,,,5299581,2140383,,5900305,,13340269,14976709,14000000,,,,,6891395,5590695,4747001,31229091,46205800
860003829,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2213841,85040,,3176,,5771909,,,8073966,,8073966,25153840,,,,,8982145,,,,30733,,,,,34166718,42240684,16003,,16003,384947,615004,761094,,1777048,,1777048,,,,,448845,,3192453,,3641298,5418346,14000000,,,,,6501620,7161225,9159493,36822338,42240684
891409156,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,146173,14476148,7934745,393211,0,0,0,0,22950277,0,22950277,0,6500765,0,0,3294790,0,0,0,0,294461,0,0,22362,0,10112378,33062655,376745,0,376745,9466693,809542,2304354,0,12957334,0,12957334,0,0,0,0,450390,0,8352000,0,8802390,21759724,245748,0,0,,0,0,228371,10828812,11302931,33062655
891409156,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,184698,12237816,9311550,463550,0,0,0,0,22197614,0,22197614,0,8484014,0,0,7728060,0,0,0,0,287621,0,0,48206,0,16547901,38745515,404050,0,404050,12723188,1204678,2846373,0,17178289,0,17178289,0,0,0,0,289486,0,7929931,0,8219417,25397706,245748,0,0,,0,2605372,228371,10268318,13347809,38745515
900354637,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,3557493,29397105,1114711,1023808,,,1755414,,36848531,,36848531,,44938806,,,2809063,,,6328485,,,,64297,,,54140651,90989182,346086,11223,357309,8793416,116412,1150883,741717,11159737,,11159737,,,,42783077,,,9711663,,52494740,63654477,12898545,,,,,,-12195814,26631974,27334705,90989182
900354637,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2587864,33671414,1338181,2669005,,,1324799,,41591263,,41591263,,58019370,,,3079170,,,,,,,7300,,,61105840,102697103,584948,,584948,21317062,578816,6008193,7253359,35742378,,35742378,,,,29180693,,,6108992,,35289685,71032063,12898545,,,,18929199,17635067,1738993,-19536764,31665040,102697103
860004828,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,44046137,48107838,90460587,156391,2253982,3095741,1089410,,189210086,,189210086,2751243,275338391,,,4636124,,,,,,,2532759,23750,,285282267,474492353,3716165,1604212,5320377,46406537,10890918,60106127,2102007,124825966,,124825966,3451258,,3451258,,26975674,,,,30426932,155252898,31001000,67066390,,,,,47705570,173466495,319239455,474492353
860004828,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,20656096,101982641,164152129,24161438,2082063,40902973,1213157,,355150497,,355150497,2751243,296358661,,,4636124,,,,,,,6169111,114914,,310030053,665180550,4545802,2556013,7101815,61575025,4140385,250480427,1990252,325287904,,325287904,3657433,126540,3783973,,24753315,,,,28537288,353825192,31001000,67066390,,,,,75242919,138045049,311355358,665180550
830034723,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2231758,24077909,,,,135028282,,,161337949,,161337949,12400454,12621029,,,4638716742,105136581,,,,2066431,,,,,4770941237,4932279186,1340608,,1340608,120922570,17722234,1360720,,141346132,,141346132,,,,,1093265,,,,1093265,142439397,19414801,35836843,,,1436943602,,3126164379,171480164,4789839789,4932279186
830034723,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,22773429,49648450,,,,10321216,,,82743095,,82743095,5129016,12613919,,,4484582199,106867741,,74600000,,3412068,,,,,4687204943,4769948038,1249877,,1249877,57211834,16585568,,,75047279,,75047279,,,,,1659497,,,,1659497,76706776,19414801,35836843,,,1447916537,,2929855361,260217720,4693241262,4769948038
900147530,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,2963,2966251,444913,,,,,,3414127,,3414127,,3422410,,,,,3087185,,,,,156031,,,6665626,10079753,,,,846219,,848799,,1695018,,1695018,0,,0,1793574,,,1370616,,3164190,4859208,70655,,,,,7511,463467,4678912,5220545,10079753
900147530,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,5918,2476346,588706,,,,,,3070970,,3070970,,3342742,,,,,2972844,,,,,156035,,,6471621,9542591,,,,1006880,,21773,,1028653,,1028653,,,,1683026,,,1713307,,3396333,4424986,70660,,,,,7511,463467,4575967,5117605,9542591
890921335,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,1173564,10094176,19793377,787897,0,2983,81462,,31933459,,31933459,83000,928540,,,,3767087,,,,339431,,,,,5118058,37051517,,,,4478357,950659,14330079,542245,20301340,,20301340,,,,,273906,,1571845,,1845751,22147091,3300000,,,,,,2135997,9468429,14904426,37051517
890921335,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,631918,10296663,18314041,243656,0,273883,,,29760161,,29760161,83000,623787,,161384,,,,,,362436,,,,,1230607,30990768,,,,2745104,708182,0,468751,3922037,,3922037,,,,,4498,,10007868,,10012366,13934403,3300000,,,,,,690113,13066252,17056365,30990768
830011625,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4737860,3393132,581144,2732,,,,,8714868,,8714868,,2644894,,,,,,126029,,,1165,,,,2772088,11486956,51808,,51808,974772,91297,602141,3860,1723878,,1723878,,,,,601064,,1404996,,2006060,3729938,1100000,1000000,,,,,2531278,3125740,7757018,11486956
830011625,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2636025,3357492,936866,,,,,,6930383,,6930383,,2571442,,,,,,,,,251649,,,,2823091,9753474,21867,,21867,149768,37631,75119,262,284647,,284647,,,,693692,631533,,425676,,1750901,2035548,1100000,1000000,,,,,2817478,2800448,7717926,9753474
900191557,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,3268698,1085511,,,,,,,4354209,,4354209,2750600,,,,201920789,,,,,,,,,,204671389,209025598,406,,406,1787847,13167,,,1801420,,1801420,,,,,579363,,,,579363,2380783,763001,60256025,,,66846243,,34558537,44221009,206644815,209025598
900191557,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2111196,1674006,,,,,,,3785202,,3785202,2750600,,,,203078518,,,,,,,,,,205829118,209614320,,,,1473339,6876,,,1480215,,1480215,,,,,548796,,,,548796,2029011,763006,60261020,,,70866070,,33538067,42157146,207585309,209614320
900134430,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,66855395,376119224,117155352,49972016,,,,,610101987,,610101987,,7407719,,,,,,,,10001420,,,,,17409139,627511126,15432154,1032828,16464982,375072755,24451909,28099778,70950278,515039702,,515039702,,,,,,,21051303,,21051303,536091005,29303,21380645,,,,,65913186,4096987,91420121,627511126
900134430,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,39682878,161639800,14656963,35450539,,,,,251430180,,251430180,,993986,,,,,,,,13054526,,,,,14048512,265478692,12724267,4646465,17370732,112416469,18546836,25498276,4516437,178348750,,178348750,,,,,,,,,,178348750,29303,21380645,,,,,65913186,-193192,87129942,265478692
860002130,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,61880000,191197000,166979000,,,683000,925000,,421664000,,421664000,,187360000,,15557000,58851000,,,228896000,,3555000,,84000,,,494303000,915967000,19246000,16856000,36102000,253572000,12338000,341194000,13000,643219000,,643219000,81971000,2949000,84920000,11906000,,,13473000,,110299000,753518000,1291000,,,,,,-39569000,200727000,162449000,915967000
860002130,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,36363000,194658000,180954000,,,1987000,810000,,414772000,,414772000,,206165000,,1768000,59302000,,,195680000,,18818000,,83000,,,481816000,896588000,20632000,15704000,36336000,239058000,36279000,186403000,98000,498174000,,498174000,85955000,2969000,88924000,12670000,,,143137000,,244731000,742905000,1291000,,,,,,-37458000,189850000,153683000,896588000
890923937,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4030837,13733680,154215,56885,,,773676,,18749293,,18749293,3607023,1602983,,694773,,,,33073,,,,,,,5937852,24687145,,,,1520161,,5185989,,6706150,,6706150,,,,2963456,,,892369,,3855825,10561975,200000,1941753,,,,,235406,11748011,14125170,24687145
890923937,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,10189748,18533783,33557,,,,268037,,29025125,,29025125,2963326,1138153,,773547,,,,33073,,185811,,,,,5093910,34119035,,,,2628602,4527171,5205727,,12361500,,12361500,,,,2078922,313855,,631856,,3024633,15386133,200000,1941753,,,,,235406,16355743,18732902,34119035
860039444,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,1454340,25542591,13685608,2332268,,0,22061,,43036868,,43036868,,94777,,,,1047791,,,,75716,,,,,1218284,44255152,,,,15897166,1413113,13432357,301964,31044600,,31044600,,,,,,,23467,,23467,31068067,7317749,1318338,,,,,842704,3708294,13187085,44255152
860039444,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,1509392,24687170,17608428,4965917,,371392,134180,,49276479,,49276479,,101956,,,,1223572,,,,173252,,,,,1498780,50775259,,,,17800602,2042785,16728299,309113,36880799,,36880799,,,,,,,5250,,5250,36886049,7317749,1318338,,,,,913727,4339396,13889210,50775259
891300237,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4603657,94141887,49826482,21570748,38863926,906784,1220459,,211133943,,211133943,,1188638062,,,620685482,,1278451,1298398,,27594250,,8826692,,,1848321335,2059455278,12454346,5014750,17469096,92548040,6023583,144354242,308198,260703159,,260703159,34700392,,34700392,,152697114,,421532819,,608930325,869633484,6601011,146082044,,,,,339308772,697829967,1189821794,2059455278
891300237,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,5854086,77552316,35860551,33162157,36682469,1720271,1067664,,191899514,,191899514,,1247516202,,,633369489,,1352054,970605,,7634084,,7656766,,,1898499200,2090398714,14741137,1893000,16634137,134912620,8601444,42624670,1022482,203795353,,203795353,24892542,,24892542,,141213901,,536304357,,702410800,906206153,6601011,146082044,,,,,307170033,724339473,1184192561,2090398714
900124227,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,24669,,,15430,,,,,40099,,40099,,,,,223040249,,,,,,,,,,223040249,223080348,,,,5,,,,5,,5,,,,,,,,,,5,908000,,,12190500,,,79805701,130176142,223080343,223080348
900124227,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,18315,,,15430,,,,,33745,,33745,,,,,178585361,,,,,,,,,,178585361,178619106,,,,31236,463,,,31699,,31699,,,,,,,,,,31699,908000,,,12190500,,,75347464,90141443,178587407,178619106
891300238,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4641907,79097407,37086262,4834,23777204,,852840,,145460454,,145460454,,875561972,,,71434095,,492376,280070,,8857903,,5533484,,,962159900,1107620354,10344256,768204,11112460,50325411,31256599,62062842,610161,155367473,,155367473,40160713,,40160713,,102925370,,146939715,,290025798,445393271,12654,998415,362023,,,,136894204,524683833,662227083,1107620354
891300238,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,5297286,78487168,25210324,103294,23389213,,811217,,133298502,,133298502,,896093472,,,66557853,,551470,411660,,8187208,,5014197,,,976815860,1110114362,12428724,652958,13081682,54012889,10617554,29711255,255177,107678557,,107678557,39912336,,39912336,,95494834,,183436411,,318843581,426522138,12654,998415,362023,,,,156912489,526030689,683592224,1110114362
891100445,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,43640129,204581259,253080131,13127053,0,23267347,0,0,537695919,,537695919,5076235,277404940,0,6039072,79680913,0,0,7247538,0,4644166,0,0,0,0,380092864,917788783,4218386,0,4218386,79488892,0,315226051,0,398933329,0,398933329,0,0,0,0,39343052,0,15248006,0,54591058,453524387,7209892,120094010,0,,0,0,109658658,227301836,464264396,917788783
891100445,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,76451675,190380461,215140222,7181867,0,7075739,0,0,496229964,,496229964,4052650,334538194,0,8642759,78840700,2622567,0,12520160,0,4508194,0,0,0,0,445725224,941955188,4713891,0,4713891,47758732,3415106,330975704,0,386863433,0,386863433,0,0,0,0,35708234,0,31040915,0,66749149,453612582,7209892,120094010,0,,0,0,122991542,238047162,488342606,941955188
800013736,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,565741,4860358,864722,,,,,,6290821,,6290821,2548250,88045524,,54133,31200366,,,,,85848,,,3812946,,125747067,132037888,234408,,234408,7194588,266115,6520595,13823,14229529,,14229529,,,,24975968,5321610,,4357807,,34655385,48884914,5478896,3059000,,,,73571234,-861556,1905400,83152974,132037888
800013736,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,21805,2372963,2106443,326527,,,,,4827738,,4827738,2548250,90624418,,60121,33765812,,,,,107670,,,4384446,,131490717,136318455,289528,,289528,5949252,,6740305,16272,12995357,,12995357,,,,18335989,5410729,,17011548,,40758266,53753623,5478896,3059000,,,,73571234,-1708000,2163702,82564832,136318455
860535628,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,867701,439465,60310,747755,0,,,,2115231,,2115231,,41414,0,0,857650,0,0,0,0,0,0,,0,0,899064,3014295,57175,0,57175,1503683,11958,0,0,1572816,0,1572816,0,0,0,,3177,,,,3177,1575993,237925,0,0,,380434,,167982,651961,1438302,3014295
860535628,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,244940,637150,13722,895970,0,0,,,1791782,,1791782,,39211,0,0,929679,0,0,0,0,1788,0,0,0,0,970678,2762460,64834,0,64834,1337722,16981,0,0,1419537,0,1419537,0,0,0,,3620,,,,3620,1423157,237925,0,0,,495973,0,142504,462901,1339303,2762460
900571526,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,32629,,,34687,,3652620,,,3719936,,3719936,3052292,,,,2981608,1237251,,,,,,,,,7271151,10991087,554,,554,772091,77722,,,850367,,850367,,,,2887866,,,183953,,3071819,3922186,1000000,,,,,2218405,154853,3695643,7068901,10991087
900571526,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,67798,,,34489,,7244036,,,7346323,,7346323,3227292,,,,3709551,267300,,,,,,,,,7204143,14550466,,,,3163745,59244,,,3222989,,3222989,,,,2546477,,,2610447,,5156924,8379913,1000000,,,,,2275063,154853,2740637,6170553,14550466
830500354,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,167867,8411151,512486,1352100,0,0,0,0,10443604,0,10443604,0,25530644,0,2943,193385,11815659,0,0,0,0,0,0,0,0,37542631,47986235,57073,,57073,2988135,395679,1439516,1164994,6045397,0,6045397,0,0,0,,,0,5596686,38250,5634936,11680333,11998268,,209275,,18777218,,2323525,3416166,36305902,47986235
830500354,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,262698,9339269,630312,1672481,0,0,0,0,11904760,0,11904760,0,26940539,0,121170,193385,11815659,0,0,0,0,0,0,0,0,39070753,50975513,39466,,39466,3804740,369551,4262002,160867,8636626,0,8636626,0,0,0,,,,6124625,0,6124625,14761251,11998268,,,,21984109,,2323525,-91640,36214262,50975513
900397327,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,0,456120,,7962,,,,,464082,,464082,,,,,84677328,,,,,,,5286547,,,89963875,90427957,,,,,5181,,,5181,,5181,,,,,,,10158200,,10158200,10163381,100000,26507660,,,,39558919,5968424,8129573,80264576,90427957
900397327,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,0,456120,,7962,,,,,464082,,464082,,,,,84677328,,,,,,,5286547,,,89963875,90427957,,,,,5181,,,5181,,5181,,,,,,,10158200,,10158200,10163381,100000,26507660,,,,39558919,5968424,8129573,80264576,90427957
805012526,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,5831145,150527,21768783,51556,,14082546,,,41884557,,41884557,,94808984,,,,125414250,,1326658,,,,91561952,,,313111844,354996401,,,,12799316,607727,,,13407043,,13407043,,,,,12249009,,55086913,,67335922,80742965,714354,,,,,,127773327,145765755,274253436,354996401
805012526,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2419913,880696,,51556,,19580350,,,22932515,,22932515,196469931,112707,,,,132985243,,7889986,,,,72462012,,,409919879,432852394,,,,10749403,898540,132340,,11780283,,11780283,,,,,16361355,,26887225,,43248580,55028863,714354,,,,,58312019,156302692,162494466,377823531,432852394
830010337,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,13576933,195054482,162322194,8620853,,143706,,,379718168,,379718168,,44978238,2775699,52518567,,16572582,,3429151,,32311575,,,524195,,153110007,532828175,4707009,12976308,17683317,227043221,309519,24959548,,269995605,,269995605,5572559,,5572559,,6841037,,,,12413596,282409201,65836141,37405562,,,,,105287946,41889325,250418974,532828175
830010337,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,17892233,256136535,178210675,,,104398,,,452343841,,452343841,,46288726,2775699,43545921,,16713900,,3108366,,35865036,,,336764,,148634412,600978253,5087503,6638433,11725936,281829246,4747425,451547,,298754154,,298754154,5299222,,5299222,,629094,,,,5928316,304682470,65836141,37405562,0,,,,105467086,87586994,296295783,600978253
890920929,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,108533,3923618,,,,15282,,,4047433,,4047433,2620239,4218561,,239262,,,,,,218351,,594747,,,7891160,11938593,714744,,714744,2078256,290910,2940937,,6024847,,6024847,,,,,485781,,3012255,,3498036,9522883,1518000,60000,,,,548374,70543,218793,2415710,11938593
890920929,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,83003,2556375,,,,6046,,,2645424,,2645424,2620239,4169123,,157307,,,,,,0,,594747,,,7541416,10186840,1082562,,1082562,2219455,272191,2763739,,6337947,,6337947,,,,,1839651,,,3439474,5279125,11617072,1518000,60000,,,,548374,70543,-3627149,-1430232,10186840
860510826,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,9223553,7829385,25811230,,,,0,,42864168,,42864168,1073820,539413,,,,,,,,,24034,,253946,,1891213,44755381,,,,9159711,1589637,,2585681,13335029,,13335029,,,,,14695,,,,14695,13349724,265545,,,,,2475000,793906,27871206,31405657,44755381
860510826,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,8372238,8819685,25537785,,,,16670,,42746378,,42746378,300000,506173,,,,,,,,,4043,,539251,,1349467,44095845,,,,9351633,1789759,,1378308,12519700,,12519700,,,,,385368,,,,385368,12905068,265545,,,,9275303,2475000,240545,18934384,31190777,44095845
811043033,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,8715,147825618,,830521,,,,,148664854,,148664854,8013612,,,309546,982805,,,,,,,6620414,,,15926377,164591231,775187,,775187,159827181,35935,201898,,160840201,,160840201,,,,,,,1705703,,1705703,162545904,50000,,,,,,30000,1965327,2045327,164591231
811043033,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,39318,168581054,,916628,,,,,169537000,,169537000,0,,,92037,984074,,,,,,,6620414,,,7696525,177233525,95011,,95011,169049244,63425,116667,,169324347,,169324347,,,,,,,5932289,,5932289,175256636,50000,,,,,,30000,1896889,1976889,177233525
800046226,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,5897630,15341878,5525152,,,,162400,,26927060,,26927060,394378,737376,,118745,,5313055,,396235,1355076,36298,,30000,,,8381163,35308223,3374343,,3374343,3329382,2678934,368130,6007052,15757841,,15757841,,,,,492069,,,,492069,16249910,2809784,,,,,22348,7136001,9090180,19058313,35308223
800046226,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,6227041,16453060,3396419,,,,333964,,26410484,,26410484,390263,641870,,19472,,5920165,,385689,3506730,135424,,30000,8678,,11038291,37448775,2663422,,2663422,3906946,3170280,122424,5680687,15543759,,15543759,,,,,540247,,,,540247,16084006,2809784,,,,,22348,11643348,6889289,21364769,37448775
860401339,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,12780937,11214643,,655824,,,32568,,24683972,,24683972,129294550,,,,37265519,,,985563,,,,,,,167545632,192229604,,,,1076295,,21103556,450846,22630697,,22630697,,,,,4704126,,34381193,,39085319,61716016,247100,40273450,,,,,75652649,14340389,130513588,192229604
860401339,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,471111,136111,,264643,,,25588,,897453,,897453,140021813,,,,52946272,,,28567441,,,,,,,221535526,222432979,,,,501817,,17754675,1023522,19280014,,19280014,,,,,5264687,,36222617,,41487304,60767318,259800,47086971,,,,,93488915,20829975,161665661,222432979
